Country,Make,Model,Year,Review Score,Sales Volume
USA,Vauxhall,Grandland X,2018,2.6,6535
France,Vauxhall,Grandland X,2013,3.0,11579
Germany,Vauxhall,Grandland X,2013,1.2,9260
USA,Vauxhall,Grandland X,2013,4.8,8512
France,Vauxhall,Grandland X,2010,4.9,4811
Germany,Vauxhall,Grandland X,2010,1.6,11237
USA,Vauxhall,Grandland X,2010,3.7,4115
France,Vauxhall,Grandland X,2015,2.7,1295
Germany,Vauxhall,Grandland X,2015,4.9,4992
USA,Vauxhall,Grandland X,2015,2.2,7038
France,Fiat,500X,2017,4.1,12519
Germany,Fiat,500X,2017,2.0,15433
USA,Fiat,500X,2017,2.1,17963
France,Fiat,500X,2011,3.4,1743
Germany,Fiat,500X,2011,3.8,17749
USA,Fiat,500X,2011,2.8,1460
France,Fiat,500X,2021,3.0,15716
Germany,Fiat,500X,2021,4.5,13496
USA,Fiat,500X,2021,2.3,17164
France,Fiat,500X,2022,2.9,17088
Germany,Fiat,500X,2022,2.6,5534
USA,Fiat,500X,2022,4.0,14778
France,Fiat,500X,2019,2.1,5618
Germany,Fiat,500X,2019,2.4,17923
USA,Fiat,500X,2019,3.3,1000
France,Fiat,500X,2020,1.1,13661
Germany,Fiat,500X,2020,2.1,13898
USA,Fiat,500X,2020,2.5,3472
France,Fiat,500X,2012,2.3,11705
Germany,Fiat,500X,2012,4.4,8119
USA,Fiat,500X,2012,1.3,13432
France,Fiat,500X,2014,2.0,13550
Germany,Fiat,500X,2014,2.9,16554
USA,Fiat,500X,2014,4.7,13945
France,Fiat,500X,2016,1.5,3123
Germany,Fiat,500X,2016,4.6,13060
USA,Fiat,500X,2016,2.4,7327
France,Fiat,500X,2018,2.8,17873
Germany,Fiat,500X,2018,2.8,10121
USA,Fiat,500X,2018,2.3,7327
France,Fiat,500X,2013,1.5,6843
Germany,Fiat,500X,2013,3.1,4243
USA,Fiat,500X,2013,4.1,3233
France,Fiat,500X,2010,3.3,9597
Germany,Fiat,500X,2010,3.4,15607
USA,Fiat,500X,2010,3.5,7579
France,Fiat,500X,2015,2.3,4315
Germany,Fiat,500X,2015,3.0,5871
USA,Fiat,500X,2015,2.4,13044
France,Tesla,Model X,2017,3.7,9902
Germany,Tesla,Model X,2017,4.4,11885
USA,Tesla,Model X,2017,3.0,1661
France,Tesla,Model X,2011,2.5,12965
Germany,Tesla,Model X,2011,2.2,6288
USA,Tesla,Model X,2011,1.8,9381
France,Tesla,Model X,2021,4.2,11713
Germany,Tesla,Model X,2021,1.1,7430
USA,Tesla,Model X,2021,4.2,15406
France,Tesla,Model X,2022,3.7,10862
Germany,Tesla,Model X,2022,2.2,17938
USA,Tesla,Model X,2022,1.1,13145
France,Tesla,Model X,2019,2.7,1338
Germany,Tesla,Model X,2019,2.8,7960
USA,Tesla,Model X,2019,2.8,7170
France,Tesla,Model X,2020,3.6,10570
Germany,Tesla,Model X,2020,1.7,5928
USA,Tesla,Model X,2020,4.5,3554
France,Tesla,Model X,2012,2.2,11275
Germany,Tesla,Model X,2012,2.8,4807
USA,Tesla,Model X,2012,3.6,5100
France,Tesla,Model X,2014,2.4,1884
Germany,Tesla,Model X,2014,1.7,12371
USA,Tesla,Model X,2014,2.0,10313
France,Tesla,Model X,2016,1.4,18112
Germany,Tesla,Model X,2016,4.4,15268
USA,Tesla,Model X,2016,1.7,13956
France,Tesla,Model X,2018,2.4,1499
Germany,Tesla,Model X,2018,4.2,14182
USA,Tesla,Model X,2018,4.7,12275
France,Tesla,Model X,2013,1.6,1033
Germany,Tesla,Model X,2013,4.7,14986
USA,Tesla,Model X,2013,2.3,13738
France,Tesla,Model X,2010,2.1,9631
Germany,Tesla,Model X,2010,4.7,14590
USA,Tesla,Model X,2010,4.1,3950
France,Tesla,Model X,2015,4.4,5050
Germany,Tesla,Model X,2015,2.6,15799
USA,Tesla,Model X,2015,2.4,16639
France,Subaru,Ascent,2017,1.9,16963
Germany,Subaru,Ascent,2017,3.9,1511
USA,Subaru,Ascent,2017,3.9,8186
France,Subaru,Ascent,2011,4.9,6014
Germany,Subaru,Ascent,2011,4.8,18083
USA,Subaru,Ascent,2011,3.6,17171
France,Subaru,Ascent,2021,1.3,4767
Germany,Subaru,Ascent,2021,4.4,15081
USA,Subaru,Ascent,2021,3.5,6240
France,Subaru,Ascent,2022,1.5,6086
Germany,Subaru,Ascent,2022,3.8,7855
USA,Subaru,Ascent,2022,4.4,18359
France,Subaru,Ascent,2019,4.5,17358
Germany,Subaru,Ascent,2019,3.6,6360
USA,Subaru,Ascent,2019,2.4,993
France,Subaru,Ascent,2020,2.0,12059
Germany,Subaru,Ascent,2020,1.9,8453
USA,Subaru,Ascent,2020,1.8,18308
France,Subaru,Ascent,2012,3.9,5514
Germany,Subaru,Ascent,2012,3.1,6951
USA,Subaru,Ascent,2012,4.2,13251
France,Subaru,Ascent,2014,3.4,8699
Germany,Subaru,Ascent,2014,2.7,13171
USA,Subaru,Ascent,2014,2.9,729
France,Subaru,Ascent,2016,2.9,4398
Germany,Subaru,Ascent,2016,3.0,10201
USA,Subaru,Ascent,2016,4.9,12398
France,Subaru,Ascent,2018,1.4,9365
Germany,Subaru,Ascent,2018,3.4,15708
USA,Subaru,Ascent,2018,1.9,17134
France,Subaru,Ascent,2013,2.6,16291
Germany,Subaru,Ascent,2013,2.9,13472
USA,Subaru,Ascent,2013,2.8,1127
France,Subaru,Ascent,2010,3.0,9660
Germany,Subaru,Ascent,2010,2.0,10954
USA,Subaru,Ascent,2010,4.6,15186
France,Subaru,Ascent,2015,1.8,8238
Germany,Subaru,Ascent,2015,1.7,16700
USA,Subaru,Ascent,2015,1.3,11279
France,Lexus,LS,2017,1.4,4531
Germany,Lexus,LS,2017,4.4,6567
USA,Lexus,LS,2017,3.5,9511
France,Lexus,LS,2011,1.9,17219
Germany,Lexus,LS,2011,3.4,3252
USA,Lexus,LS,2011,4.9,12039
France,Lexus,LS,2021,1.1,727
Germany,Lexus,LS,2021,2.9,11903
USA,Lexus,LS,2021,2.3,3799
France,Lexus,LS,2022,4.3,12400
Germany,Lexus,LS,2022,1.4,16126
USA,Lexus,LS,2022,3.4,1509
France,Lexus,LS,2019,4.6,1854
Germany,Lexus,LS,2019,4.3,13015
USA,Lexus,LS,2019,2.5,15935
France,Lexus,LS,2020,3.5,6778
Germany,Lexus,LS,2020,3.9,15465
USA,Lexus,LS,2020,2.9,4946
France,Lexus,LS,2012,2.4,9032
Germany,Lexus,LS,2012,4.2,12960
USA,Lexus,LS,2012,3.7,8740
France,Lexus,LS,2014,2.9,4507
Germany,Lexus,LS,2014,4.7,15075
USA,Lexus,LS,2014,3.5,15432
France,Lexus,LS,2016,3.2,5118
Germany,Lexus,LS,2016,2.4,13086
USA,Lexus,LS,2016,3.7,15047
France,Lexus,LS,2018,4.8,12757
Germany,Lexus,LS,2018,1.7,4108
USA,Lexus,LS,2018,3.6,17779
France,Lexus,LS,2013,4.7,4450
Germany,Lexus,LS,2013,4.1,3773
USA,Lexus,LS,2013,4.3,11240
France,Lexus,LS,2010,1.5,5542
Germany,Lexus,LS,2010,2.2,5876
USA,Lexus,LS,2010,3.8,16517
France,Lexus,LS,2015,1.2,7146
Germany,Lexus,LS,2015,2.0,1297
USA,Lexus,LS,2015,3.4,7644
France,Kia,Soul,2017,2.7,4201
Germany,Kia,Soul,2017,2.5,18105
USA,Kia,Soul,2017,1.3,10283
France,Kia,Soul,2011,4.7,5009
Germany,Kia,Soul,2011,3.7,10047
USA,Kia,Soul,2011,2.9,16591
France,Kia,Soul,2021,4.9,10940
Germany,Kia,Soul,2021,1.7,2174
USA,Kia,Soul,2021,2.5,13775
France,Kia,Soul,2022,4.9,6517
Germany,Kia,Soul,2022,1.3,15475
USA,Kia,Soul,2022,2.4,7390
France,Kia,Soul,2019,2.4,17495
Germany,Kia,Soul,2019,1.1,9173
USA,Kia,Soul,2019,3.3,14490
France,Kia,Soul,2020,2.4,12006
Germany,Kia,Soul,2020,1.8,4313
USA,Kia,Soul,2020,4.6,11403
France,Kia,Soul,2012,4.0,4004
Germany,Kia,Soul,2012,1.6,15555
USA,Kia,Soul,2012,3.3,3881
France,Kia,Soul,2014,4.7,9846
Germany,Kia,Soul,2014,3.1,15443
USA,Kia,Soul,2014,3.4,14947
France,Kia,Soul,2016,1.2,14461
Germany,Kia,Soul,2016,2.1,1604
USA,Kia,Soul,2016,3.0,7599
France,Kia,Soul,2018,2.8,15738
Germany,Kia,Soul,2018,3.2,3275
USA,Kia,Soul,2018,3.3,7417
France,Kia,Soul,2013,4.4,13626
Germany,Kia,Soul,2013,4.4,16536
USA,Kia,Soul,2013,1.3,7510
France,Kia,Soul,2010,2.9,9461
Germany,Kia,Soul,2010,1.6,3676
USA,Kia,Soul,2010,2.9,1862
France,Kia,Soul,2015,1.2,5819
Germany,Kia,Soul,2015,1.8,8286
USA,Kia,Soul,2015,2.4,1287
France,Volkswagen,Jetta,2017,3.8,9141
Germany,Volkswagen,Jetta,2017,1.9,4914
USA,Volkswagen,Jetta,2017,4.8,5799
France,Volkswagen,Jetta,2011,4.5,18054
Germany,Volkswagen,Jetta,2011,2.7,6545
USA,Volkswagen,Jetta,2011,4.8,16110
France,Volkswagen,Jetta,2021,4.3,15204
Germany,Volkswagen,Jetta,2021,3.1,9215
USA,Volkswagen,Jetta,2021,3.5,14103
France,Volkswagen,Jetta,2022,2.8,6085
Germany,Volkswagen,Jetta,2022,3.0,14298
USA,Volkswagen,Jetta,2022,1.7,4373
France,Volkswagen,Jetta,2019,3.6,3096
Germany,Volkswagen,Jetta,2019,4.4,2076
USA,Volkswagen,Jetta,2019,4.3,16533
France,Volkswagen,Jetta,2020,1.5,17671
Germany,Volkswagen,Jetta,2020,4.0,3421
USA,Volkswagen,Jetta,2020,3.6,11882
France,Volkswagen,Jetta,2012,1.8,17092
Germany,Volkswagen,Jetta,2012,2.4,7510
USA,Volkswagen,Jetta,2012,4.0,1050
France,Volkswagen,Jetta,2014,3.3,8999
Germany,Volkswagen,Jetta,2014,2.4,12523
USA,Volkswagen,Jetta,2014,2.9,3426
France,Volkswagen,Jetta,2016,1.8,5728
Germany,Volkswagen,Jetta,2016,4.2,16888
USA,Volkswagen,Jetta,2016,3.5,17794
France,Volkswagen,Jetta,2018,2.0,11188
Germany,Volkswagen,Jetta,2018,1.2,6878
USA,Volkswagen,Jetta,2018,2.0,17507
France,Volkswagen,Jetta,2013,3.5,13985
Germany,Volkswagen,Jetta,2013,4.6,1014
USA,Volkswagen,Jetta,2013,3.9,11751
France,Volkswagen,Jetta,2010,4.6,8704
Germany,Volkswagen,Jetta,2010,1.2,4694
USA,Volkswagen,Jetta,2010,3.7,1489
France,Volkswagen,Jetta,2015,4.0,7472
Germany,Volkswagen,Jetta,2015,4.6,17442
USA,Volkswagen,Jetta,2015,4.6,2610
France,Ford,Mustang,2017,4.1,1448
Germany,Ford,Mustang,2017,1.4,17071
USA,Ford,Mustang,2017,2.7,14933
France,Ford,Mustang,2011,2.7,2282
Germany,Ford,Mustang,2011,4.1,6268
USA,Ford,Mustang,2011,3.6,8548
France,Ford,Mustang,2021,2.0,1259
Germany,Ford,Mustang,2021,1.6,9391
USA,Ford,Mustang,2021,2.8,909
France,Ford,Mustang,2022,1.4,16580
Germany,Ford,Mustang,2022,4.6,17594
USA,Ford,Mustang,2022,4.8,2666
France,Ford,Mustang,2019,1.3,6131
Germany,Ford,Mustang,2019,2.5,5186
USA,Ford,Mustang,2019,1.7,12863
France,Ford,Mustang,2020,1.8,16229
Germany,Ford,Mustang,2020,4.7,3858
USA,Ford,Mustang,2020,1.9,4158
France,Ford,Mustang,2012,3.2,14915
Germany,Ford,Mustang,2012,3.3,10159
USA,Ford,Mustang,2012,2.6,9750
France,Ford,Mustang,2014,3.2,12315
Germany,Ford,Mustang,2014,3.6,10886
USA,Ford,Mustang,2014,4.0,11135
France,Ford,Mustang,2016,3.7,18105
Germany,Ford,Mustang,2016,4.5,590
USA,Ford,Mustang,2016,3.5,17390
France,Ford,Mustang,2018,1.8,1054
Germany,Ford,Mustang,2018,2.0,9128
USA,Ford,Mustang,2018,2.1,12903
France,Ford,Mustang,2013,2.4,8093
Germany,Ford,Mustang,2013,1.8,7404
USA,Ford,Mustang,2013,3.0,14272
France,Ford,Mustang,2010,3.3,1360
Germany,Ford,Mustang,2010,2.1,12945
USA,Ford,Mustang,2010,3.2,744
France,Ford,Mustang,2015,2.9,11575
Germany,Ford,Mustang,2015,4.5,17557
USA,Ford,Mustang,2015,4.7,11196
France,Mercedes-Benz,E-Class,2017,3.8,10668
Germany,Mercedes-Benz,E-Class,2017,2.7,878
USA,Mercedes-Benz,E-Class,2017,4.8,1946
France,Mercedes-Benz,E-Class,2011,1.6,14220
Germany,Mercedes-Benz,E-Class,2011,2.0,697
USA,Mercedes-Benz,E-Class,2011,2.6,10901
France,Mercedes-Benz,E-Class,2021,1.7,11371
Germany,Mercedes-Benz,E-Class,2021,3.8,3923
USA,Mercedes-Benz,E-Class,2021,3.2,17374
France,Mercedes-Benz,E-Class,2022,3.2,3902
Germany,Mercedes-Benz,E-Class,2022,2.7,18261
USA,Mercedes-Benz,E-Class,2022,1.2,15314
France,Mercedes-Benz,E-Class,2019,3.8,8882
Germany,Mercedes-Benz,E-Class,2019,3.0,9473
USA,Mercedes-Benz,E-Class,2019,3.4,2385
France,Mercedes-Benz,E-Class,2020,2.3,16282
Germany,Mercedes-Benz,E-Class,2020,2.3,13258
USA,Mercedes-Benz,E-Class,2020,1.7,7020
France,Mercedes-Benz,E-Class,2012,3.2,15273
Germany,Mercedes-Benz,E-Class,2012,3.5,14681
USA,Mercedes-Benz,E-Class,2012,1.2,3821
France,Mercedes-Benz,E-Class,2014,1.1,14145
Germany,Mercedes-Benz,E-Class,2014,1.9,17065
USA,Mercedes-Benz,E-Class,2014,3.4,3987
France,Mercedes-Benz,E-Class,2016,3.2,5500
Germany,Mercedes-Benz,E-Class,2016,2.4,12848
USA,Mercedes-Benz,E-Class,2016,2.4,8488
France,Mercedes-Benz,E-Class,2018,1.7,1957
Germany,Mercedes-Benz,E-Class,2018,3.4,10663
USA,Mercedes-Benz,E-Class,2018,4.6,2965
France,Mercedes-Benz,E-Class,2013,2.8,3979
Germany,Mercedes-Benz,E-Class,2013,2.8,6456
USA,Mercedes-Benz,E-Class,2013,4.2,4924
France,Mercedes-Benz,E-Class,2010,2.5,3345
Germany,Mercedes-Benz,E-Class,2010,1.4,586
USA,Mercedes-Benz,E-Class,2010,4.2,15015
France,Mercedes-Benz,E-Class,2015,3.7,4075
Germany,Mercedes-Benz,E-Class,2015,2.8,4175
USA,Mercedes-Benz,E-Class,2015,3.1,6137
France,Mazda,CX-5,2017,3.5,14433
Germany,Mazda,CX-5,2017,4.1,6587
USA,Mazda,CX-5,2017,2.9,8153
France,Mazda,CX-5,2011,3.2,17092
Germany,Mazda,CX-5,2011,2.5,5153
USA,Mazda,CX-5,2011,1.2,744
France,Mazda,CX-5,2021,4.7,11871
Germany,Mazda,CX-5,2021,3.3,7802
USA,Mazda,CX-5,2021,4.7,3842
France,Mazda,CX-5,2022,3.8,7718
Germany,Mazda,CX-5,2022,3.6,12931
USA,Mazda,CX-5,2022,3.8,12986
France,Mazda,CX-5,2019,2.1,4760
Germany,Mazda,CX-5,2019,1.2,16481
USA,Mazda,CX-5,2019,2.4,17366
France,Mazda,CX-5,2020,2.3,2704
Germany,Mazda,CX-5,2020,3.7,15491
USA,Mazda,CX-5,2020,1.9,504
France,Mazda,CX-5,2012,4.4,501
Germany,Mazda,CX-5,2012,3.1,17080
USA,Mazda,CX-5,2012,2.8,10001
France,Mazda,CX-5,2014,1.9,16277
Germany,Mazda,CX-5,2014,2.4,3740
USA,Mazda,CX-5,2014,1.6,6597
France,Mazda,CX-5,2016,1.6,5292
Germany,Mazda,CX-5,2016,3.8,5158
USA,Mazda,CX-5,2016,4.0,10605
France,Mazda,CX-5,2018,3.7,2337
Germany,Mazda,CX-5,2018,3.5,9056
USA,Mazda,CX-5,2018,2.2,17269
France,Mazda,CX-5,2013,4.1,2622
Germany,Mazda,CX-5,2013,1.3,18090
USA,Mazda,CX-5,2013,1.3,10545
France,Mazda,CX-5,2010,2.9,816
Germany,Mazda,CX-5,2010,1.3,5915
USA,Mazda,CX-5,2010,1.1,17162
France,Mazda,CX-5,2015,1.5,10592
Germany,Mazda,CX-5,2015,3.8,4138
USA,Mazda,CX-5,2015,1.7,5882
France,Vauxhall,Insignia,2017,4.3,2756
Germany,Vauxhall,Insignia,2017,2.8,12213
USA,Vauxhall,Insignia,2017,2.3,18227
France,Vauxhall,Insignia,2011,3.7,9902
Germany,Vauxhall,Insignia,2011,3.9,16895
USA,Vauxhall,Insignia,2011,2.6,13906
France,Vauxhall,Insignia,2021,2.9,9969
Germany,Vauxhall,Insignia,2021,2.8,13755
USA,Vauxhall,Insignia,2021,2.2,9474
France,Vauxhall,Insignia,2022,4.8,7232
Germany,Vauxhall,Insignia,2022,1.2,7049
USA,Vauxhall,Insignia,2022,3.3,17538
France,Vauxhall,Insignia,2019,3.8,5919
Germany,Vauxhall,Insignia,2019,3.2,4988
USA,Vauxhall,Insignia,2019,3.4,639
France,Vauxhall,Insignia,2020,4.0,11810
Germany,Vauxhall,Insignia,2020,2.4,14668
USA,Vauxhall,Insignia,2020,2.9,17655
France,Vauxhall,Insignia,2012,1.2,17858
Germany,Vauxhall,Insignia,2012,3.7,7278
USA,Vauxhall,Insignia,2012,2.9,15981
France,Vauxhall,Insignia,2014,4.3,11342
Germany,Vauxhall,Insignia,2014,3.7,3472
USA,Vauxhall,Insignia,2014,2.3,13749
France,Vauxhall,Insignia,2016,4.4,17817
Germany,Vauxhall,Insignia,2016,4.8,12926
USA,Vauxhall,Insignia,2016,3.5,12964
France,Vauxhall,Insignia,2018,4.2,5311
Germany,Vauxhall,Insignia,2018,1.5,5850
USA,Vauxhall,Insignia,2018,1.2,7764
France,Vauxhall,Insignia,2013,3.2,7424
Germany,Vauxhall,Insignia,2013,2.8,10261
USA,Vauxhall,Insignia,2013,2.6,8839
France,Vauxhall,Insignia,2010,1.1,6579
Germany,Vauxhall,Insignia,2010,4.7,16049
USA,Vauxhall,Insignia,2010,1.6,5478
France,Vauxhall,Insignia,2015,2.4,12470
Germany,Vauxhall,Insignia,2015,1.7,17090
USA,Vauxhall,Insignia,2015,1.2,16182
France,Volkswagen,Passat,2017,2.7,11112
Germany,Volkswagen,Passat,2017,3.9,17086
USA,Volkswagen,Passat,2017,4.0,8659
France,Volkswagen,Passat,2011,1.2,2063
Germany,Volkswagen,Passat,2011,4.7,4037
USA,Volkswagen,Passat,2011,3.7,1413
France,Volkswagen,Passat,2021,3.0,11431
Germany,Volkswagen,Passat,2021,3.4,1714
USA,Volkswagen,Passat,2021,3.3,14048
France,Volkswagen,Passat,2022,3.9,8468
Germany,Volkswagen,Passat,2022,4.0,17157
USA,Volkswagen,Passat,2022,3.3,10330
France,Volkswagen,Passat,2019,1.5,16715
Germany,Volkswagen,Passat,2019,1.3,13407
USA,Volkswagen,Passat,2019,2.0,10619
France,Volkswagen,Passat,2020,1.4,9595
Germany,Volkswagen,Passat,2020,3.0,7881
USA,Volkswagen,Passat,2020,3.3,18413
France,Volkswagen,Passat,2012,2.2,18192
Germany,Volkswagen,Passat,2012,3.1,2682
USA,Volkswagen,Passat,2012,4.0,7798
France,Volkswagen,Passat,2014,1.4,14415
Germany,Volkswagen,Passat,2014,4.3,6738
USA,Volkswagen,Passat,2014,4.3,17591
France,Volkswagen,Passat,2016,1.6,12689
Germany,Volkswagen,Passat,2016,3.8,2450
USA,Volkswagen,Passat,2016,4.5,5049
France,Volkswagen,Passat,2018,3.5,1175
Germany,Volkswagen,Passat,2018,1.4,5231
USA,Volkswagen,Passat,2018,3.4,6069
France,Volkswagen,Passat,2013,1.7,15262
Germany,Volkswagen,Passat,2013,3.5,7491
USA,Volkswagen,Passat,2013,2.2,7973
France,Volkswagen,Passat,2010,3.4,3083
Germany,Volkswagen,Passat,2010,4.2,7381
USA,Volkswagen,Passat,2010,2.7,7033
France,Volkswagen,Passat,2015,2.3,9593
Germany,Volkswagen,Passat,2015,3.5,3275
USA,Volkswagen,Passat,2015,3.3,14587
France,Lexus,ES,2017,1.5,4400
Germany,Lexus,ES,2017,1.6,7161
USA,Lexus,ES,2017,1.3,9882
France,Lexus,ES,2011,4.8,9910
Germany,Lexus,ES,2011,1.8,6059
USA,Lexus,ES,2011,4.1,9467
France,Lexus,ES,2021,3.5,13541
Germany,Lexus,ES,2021,4.6,10411
USA,Lexus,ES,2021,2.8,3720
France,Lexus,ES,2022,3.4,8854
Germany,Lexus,ES,2022,4.3,10110
USA,Lexus,ES,2022,2.2,10131
France,Lexus,ES,2019,3.6,13307
Germany,Lexus,ES,2019,2.4,1054
USA,Lexus,ES,2019,3.6,1657
France,Lexus,ES,2020,2.5,7294
Germany,Lexus,ES,2020,1.2,1912
USA,Lexus,ES,2020,3.9,14574
France,Lexus,ES,2012,1.1,9392
Germany,Lexus,ES,2012,2.9,12031
USA,Lexus,ES,2012,1.4,14685
France,Lexus,ES,2014,4.6,12736
Germany,Lexus,ES,2014,4.1,14533
USA,Lexus,ES,2014,2.6,17763
France,Lexus,ES,2016,4.3,8630
Germany,Lexus,ES,2016,3.0,5614
USA,Lexus,ES,2016,4.7,11317
France,Lexus,ES,2018,1.3,6616
Germany,Lexus,ES,2018,2.9,10072
USA,Lexus,ES,2018,2.1,13364
France,Lexus,ES,2013,3.6,10513
Germany,Lexus,ES,2013,3.0,2102
USA,Lexus,ES,2013,2.0,13965
France,Lexus,ES,2010,4.7,13980
Germany,Lexus,ES,2010,4.1,5011
USA,Lexus,ES,2010,4.0,1768
France,Lexus,ES,2015,2.0,8233
Germany,Lexus,ES,2015,1.9,3965
USA,Lexus,ES,2015,2.2,15898
France,BMW,5 Series,2017,3.8,17222
Germany,BMW,5 Series,2017,4.5,15947
USA,BMW,5 Series,2017,1.4,15689
France,BMW,5 Series,2011,3.7,4897
Germany,BMW,5 Series,2011,1.9,12309
USA,BMW,5 Series,2011,3.2,5247
France,BMW,5 Series,2021,2.5,5239
Germany,BMW,5 Series,2021,1.5,7412
USA,BMW,5 Series,2021,2.6,16416
France,BMW,5 Series,2022,2.8,1266
Germany,BMW,5 Series,2022,1.6,10757
USA,BMW,5 Series,2022,4.7,3482
France,BMW,5 Series,2019,2.4,9952
Germany,BMW,5 Series,2019,3.8,13620
USA,BMW,5 Series,2019,4.2,12927
France,BMW,5 Series,2020,3.7,7094
Germany,BMW,5 Series,2020,1.2,14932
USA,BMW,5 Series,2020,4.6,12672
France,BMW,5 Series,2012,3.3,9853
Germany,BMW,5 Series,2012,4.0,3352
USA,BMW,5 Series,2012,2.3,11737
France,BMW,5 Series,2014,4.7,13892
Germany,BMW,5 Series,2014,3.8,12955
USA,BMW,5 Series,2014,2.2,8968
France,BMW,5 Series,2016,1.9,15767
Germany,BMW,5 Series,2016,2.2,7966
USA,BMW,5 Series,2016,2.3,5670
France,BMW,5 Series,2018,1.6,17702
Germany,BMW,5 Series,2018,3.3,10323
USA,BMW,5 Series,2018,2.5,4230
France,BMW,5 Series,2013,2.8,14099
Germany,BMW,5 Series,2013,1.4,12337
USA,BMW,5 Series,2013,3.4,7817
France,BMW,5 Series,2010,1.2,7113
Germany,BMW,5 Series,2010,3.5,10167
USA,BMW,5 Series,2010,2.3,13058
France,BMW,5 Series,2015,3.0,6097
Germany,BMW,5 Series,2015,1.4,15926
USA,BMW,5 Series,2015,2.2,11987
France,Nissan,Leaf,2017,3.1,2813
Germany,Nissan,Leaf,2017,2.5,4764
USA,Nissan,Leaf,2017,1.2,6092
France,Nissan,Leaf,2011,2.9,13893
Germany,Nissan,Leaf,2011,1.1,8271
USA,Nissan,Leaf,2011,1.6,3390
France,Nissan,Leaf,2021,3.6,10991
Germany,Nissan,Leaf,2021,3.7,16221
USA,Nissan,Leaf,2021,2.6,8359
France,Nissan,Leaf,2022,4.1,2569
Germany,Nissan,Leaf,2022,3.0,16804
USA,Nissan,Leaf,2022,3.3,18282
France,Nissan,Leaf,2019,2.3,1817
Germany,Nissan,Leaf,2019,3.5,2466
USA,Nissan,Leaf,2019,1.4,2293
France,Nissan,Leaf,2020,2.7,12299
Germany,Nissan,Leaf,2020,3.5,4668
USA,Nissan,Leaf,2020,4.8,10765
France,Nissan,Leaf,2012,3.3,923
Germany,Nissan,Leaf,2012,2.6,8639
USA,Nissan,Leaf,2012,3.8,17475
France,Nissan,Leaf,2014,2.6,1900
Germany,Nissan,Leaf,2014,1.9,7665
USA,Nissan,Leaf,2014,3.4,11709
France,Nissan,Leaf,2016,1.6,3979
Germany,Nissan,Leaf,2016,3.7,9645
USA,Nissan,Leaf,2016,2.9,9044
France,Nissan,Leaf,2018,2.7,11801
Germany,Nissan,Leaf,2018,1.6,18409
USA,Nissan,Leaf,2018,1.6,17745
France,Nissan,Leaf,2013,2.4,16556
Germany,Nissan,Leaf,2013,4.3,4783
